,PC1,PC2,PC3,PC4,PC5
327-Pancr-KRAS,-39.273315732657366,-18.155062657246052,32.92195215804674,-8.493279318590426,7.532491592944984
328-Pancr-WT,-17.13996919165634,-10.265488948451615,36.10579623664323,-18.579180027286395,11.831755275112634
331-Pancr-WT,-17.959721762216407,-13.191269795993248,34.10152922426086,-2.798063977811904,15.851492217665058
Panc-335,-20.567032285349484,-7.985823599911054,29.41814694596389,-4.132318439552774,-0.11575114001719149
367-Pancr-KRAS,17.647764962250086,-20.352249295905704,31.55899320174995,-37.22897617227348,17.710068997433606
369-Pancr-KRAS,-1.7691886845174827,-10.078565366568034,27.811635804303087,-23.96673451285652,6.98856398224155
Panc-370,-37.06932876043989,-3.2580906086808805,14.979954910335454,-1.6726173082252627,-2.697207874147517
371-Pancr-KRAS,-73.47460792017719,-6.612796162791,30.498145950292066,15.009503408270133,-1.6833052463214984
380-Pancr-KRAS,-19.488858089312874,-19.28472006670191,15.403730154114722,-7.641655402508439,24.077440291899116
382-Pancr-KRAS,-7.482164665743431,-6.268448565223827,29.065400621495744,-18.610689193384385,6.554439127115369
387-Pancr-WT,27.751363472263584,-23.354288345925212,26.300972662838856,-25.77627701178354,21.696186139090432
388-Pancr-WT,-31.897629307486664,2.274355592064212,28.602488295384113,-2.6364370834023405,-10.291621968790443
389-Pancr-WT,-20.484840328011867,-12.229242758393681,18.249510638477027,-15.275336587667654,15.308894762667151
390-Pancr-KRAS,68.76663100727174,-8.27835295789792,22.824078322779798,-32.87051683807065,6.097363762348127
391-Pancr-KRAS,-40.901585443807136,-26.22610898484739,29.21283452966341,-0.6300345434787561,22.09679193319362
431-Pancr-WT,-30.548528173203767,-29.38136480104318,5.570665051667751,9.0783321769045,27.07998849832179
434-Pancr-WT,-49.66660354935078,6.707677489258783,14.381606725261108,-3.5005109165284716,11.673685721757082
Panc-435,-32.849658700966046,-6.693504878160859,26.757334865278615,9.384558991494451,-5.3039478116641146
448-Pancr-KRAS,4.596751597053942,-1.8108444948307212,24.556641989145138,-23.287805844887234,11.633650968454955
Type-Unknown-4,-17.959744236901884,9.583502862221978,26.655883651794593,-23.77537491578668,-6.439248137485219
Panc-451,-24.02413953152532,-6.353601513997945,7.828957376080204,-6.711817207346456,5.178417942355689
Panc-461,-26.07614499554108,-9.964495356087108,8.77907578748247,-6.711105532601767,8.755777125294491
Panc-477,6.858167258175931,-18.07096134983706,7.110636612510554,-7.2589647961094865,11.048336043407497
488-Pancr-WT,11.633491727577963,0.19792835156500305,16.02944575509719,-24.69606194983847,20.34127557609717
Panc-493,3.9677095097936,-10.805060093932509,9.744063300189865,-7.834218463707411,10.205797785080485
498-Pancr-WT,-0.3182723706554264,-23.94478115910445,15.874842364391816,-26.817071338858145,27.54057374644655
Panc-501,-42.409395997117905,10.323531111221627,34.853224438245626,-5.612278228293092,-20.057549217559675
Panc-503,-21.446135950067887,7.984655934205734,35.39858020021807,-13.11249705046165,-30.36961314397356
512-Pancr-KRAS,18.310336774879943,6.177707468832927,31.221571071132974,-18.61417509399491,7.520684719417791
553-Pancr-KRAS,14.559508429385694,-4.078633835846117,25.836561414982597,-24.35656703450394,14.539113576057053
Panc-593,53.92764853550053,-9.012977411839072,12.13805530778092,-22.355627907358027,19.632510063924176
Panc-597,-6.711133680693811,-12.90266569933939,10.542915727152707,-14.41149961534885,3.1750253714546695
MGH-BrCa-H-11,83.31174830594945,87.86884065933924,-22.6683331533925,-1.3129366197681278,10.340938447786476
MGH-BrCa-H-59,-49.3623250824486,90.55856929866839,-6.526649673721905,8.346972883884824,-12.377094519205713
MGH-BrCa-H-66,58.93495056035267,75.66059586632464,-28.819989259186748,-8.837423608765054,28.553508601074533
MGH-BrCa-H-68,42.57390691553975,84.54894336528501,-24.904187231448752,-0.2800173568045486,28.852290363063606
MGH-BrCa-H-74,4.216143651803956,81.73265386852091,-14.365085090791423,-11.473019482754955,11.795915997194095
MGH-BrCa-H-75,33.68998025846822,92.2379103362692,-11.594771511005757,-11.771978980006429,14.203932664462371
MGH-CRC-368,-15.945176108356401,91.71753444945078,-12.684105553461333,-12.296555552210558,1.7002136526797125
Vumc-NSCLC-49,0.7821534366773499,98.04446718645247,-17.706922460684474,-3.776685288656199,-11.300311509719815
Vumc-NSCLC-57,-30.19515549943196,88.39179090022084,-17.632912879763687,-7.526956921481485,-9.061832619794469
Vumc-NSCLC-59,109.89267089673841,94.76286061285998,-28.12507346100816,-26.51669459939688,-14.511769893993106
MGH-BrCa-H31-TR-489,-5.57982716713105,81.61754750005723,-11.156348667911455,4.989396765242656,0.480427119899778
MGH-BrCa-H38-TR467,-46.64486961061133,68.45143994617867,-21.441026299883877,27.638724934526987,-14.900873823681007
MGH-BrCa-H63-TR-491,9.869677246486535,76.59381761641629,-9.85782153266201,1.324545082266503,18.558000178113858
MGH-BrCa-H76-TR469,4.938029030229062,83.35730981553505,-24.045763439634747,-2.5265543658717964,7.217448683338843
MGH-BrCa-H81-TR492,73.50174602013101,80.33481702883334,-19.77001151362039,-21.18213958873919,8.237735065859754
MGH-BrCa-H83-TR550,8.851332796801374,88.746389993728,-14.130426994515721,-5.4484968773117055,4.50730568350798
MGH-BrCa-H84-TR551,12.225419372977308,85.84634776277169,-11.293787604032424,-3.84440447743637,16.23834470846052
MGH-BrCa-H89-TR471,-42.62320080689445,94.26442917625587,-4.2045613658307115,21.384429773245113,-16.872988098227598
MGH-BrCa-H92-TR472,-2.777011422148511,93.26055462189582,-14.194513439812386,0.8410622576620123,-6.697817050915209
MGH-CRC-412-TR466,-109.31878349631087,21.952157011926833,-48.85293596795189,41.26352238974192,36.93878419140235
MGH-CRC-BRAF4-TR547,15.909403901242149,90.96805416729326,-16.71044215719536,-34.52059443233169,3.831503069701454
